,titulo,empresa_nome,localidade,tempo_em_aberto,empresa_link,workplace_type,senioridade,jobs_description,skills,id,url,qtd_candidatos,recrutador
0,"Sr Data Developer, Campinas ( Presencial )",CI&T,"Campinas, São Paulo, Brasil",há 1 mês,https://www.linkedin.com/company/ciandt/life,Presencial,Pleno-sênior,"We partner with the world’s most valuable brands to build digital solutions that transform businesses. As a digital native, we bring a 29-year track record of accelerating business impact through complete and scalable digital solutions. With a global presence of 6,000+ professionals in strategy, research, data science, design and engineering, we unlock top-line growth, improve customer experience, and drive operational efficiency. We are looking for a SR Data Engineer to be part of our team that is working for clients in Europe. In this position, you will design, implement and support data pipelines working closely with teams in the EU, US, Brazil and other countries. You need advanced and/or fluent proficiency in English to communicate with these different teams and clients during the workday. To Be Considered For This Opportunity You Must Have Excellent level of English (reading, writing and speaking) Send CV in English Availability to work in our Campinas Base We Are Looking For Someone Who Has Solid experience in designing, building and testing data pipelines. Solid experience using Python for data (data gathering, cleaning, transformation, joining, reading and writing data frames using different formats). Comfort learning new frameworks. Experience with Cloud (especially AWS Glue). Good knowledge with Infrastructure as a Code. Willingness to work with different technologies and learn every day. Ability to share your knowledge with more junior team members. The Main Responsibilities Include, But Are Not Limited To Develop code used by data tools on Cloud (AWS) to perform expected data aggregation and processing operations. Support, troubleshoot and fix bugs on existing data pipelines. Define, build and deliver high-quality data pipelines. Participate in the Data Validation process. Cloud infrastructure design and setup. Design, construct, install, test and maintain data management systems. Ensure that all systems meet the business/company requirements as well as industry practices. Integrate up-and-coming data management and software engineering technologies into existing data structures. Develop set processes for data mining, data modeling, and data production. Recommend different ways to constantly improve data reliability and quality. Analyze and organize raw data. Build data-marts that will be consumed by data scientist’s analysis and data visualization tools We expect candidates to have knowledge in some, but not necessarily all fields below: Knowledge of non-functional requirements (performance, security, privacy, GDPR and etc) Knowledge of Cloud Data Platform (AWS RedShift, AWS EMR, SnowFlake) Knowledge of unit, integration and E2E testing Knowledge of using Python or other scripting languages to automate day to day tasks Knowledge of different SQL and No SQL databases Our Benefits Health plan and dental plan; Meal allowances; Childcare assistance; Extended parenting leave; Gympass Annual profit-sharing distribution; Life insurance; Partnership with an online mental health platform; CI&T University; Discount Club; Support Program: financial; physiotherapy; psychological guidance; nutritionist and more; Pregnancy course and responsible parenthood; Partnership with online course platforms Platform for language learning; And many others. #Midsenior CI&T is an equal-opportunity employer. We celebrate and appreciate the diversity of our CI&Ters’ identities and lived experiences. We are committed to building, promoting, and retaining a diverse, inclusive, and equitable company and culture focused on creating a better tomorrow. At CI&T, we recognize that innovation and transformation only happen in diverse, inclusive, and safe work environments. Our teams are most impactful when people from all backgrounds and experiences collaborate to share, create, and hear ideas. Before applying for our opportunities take a look at Conflict of Interest Policy on website. We strongly encourage candidates from diverse and underrepresented communities to apply for our vacancies.",AWS Glue;Agregação de dados;Amazon Redshift;Analítica de dados;Automação;Banco de dados;Ciência de dados;Modelagem de dados;Pipeline de dados;Validação de dados,3846122504,https://www.linkedin.com/jobs/view/3846122504,,
1,Engenheiro de Dados Sênior,DataEX,"São Paulo, São Paulo, Brasil",há 2 dias,https://www.linkedin.com/company/dataex/life,Híbrido,Contrato,"Estamos buscando Engenheiro de Dados Sênior com experiência em desenvolvimento de soluções na plataforma Azure, Data Factory, Azure Databricks, Datalake, Python, SQL Server e que tenha inglês fluente ou avançado para alinhamentos com equipe de Internacional. Requisitos: Experiência na utilização de Data Factory, Databricks, Datalake, Python, SQL Server e Nuvem Azure; Experiência em atuação de projetos utilizando metodologia ágil; Inglês avançado ou fluente; Desejável certificações na área de Dados.","Engenharia de dados;Azure Data Factory;Azure Databricks;Big data;Data lakes;ETL (Extração, transformação e carregamento);Python;SQL;Transact-SQL;Windows Azure",3908272268,https://www.linkedin.com/jobs/view/3908272268,73 candidaturas,
2,Desenvolvevimento BI Tableau - Sênior,DBC Company,"Ivoti, Rio Grande do Sul, Brasil",há 1 mês,https://www.linkedin.com/company/dbc-company/life,Híbrido,Pleno-sênior,"Estamos procurando contratar Desenvolvedor Tableau Sênior. O desenvolvedor será responsável por fornecer assistência técnica e orientação para quaisquer conflitos ou problemas de produção. Irá atuar em conjunto com uma equipe de desenvolvimento, alavancando nossas entregas como área em sinergia com as necessidades das áreas. Demonstrar excelentes habilidades de comunicação com o público técnico e não técnico, promovendo a qualidade e a confiabilidade do dashboard desde o conceito até a implantação Criar exibições de relatórios para casos de uso inteligentes da empresa Colaborar com departamentos, stakeholders comerciais e equipes técnicas para compartilhar ideias. Bacharelado ou Mestrado em Engenharia ou Ciência da Computação (ou experiência equivalente) Sólida experiência como desenvolvedor Tableau Experiência trabalhando com SQL Excelente compreensão sobre desenvolvimento, definição e otimização em Dataviz Experiência comprovada com Tableau Excelente compreensão sobre o desenvolvimento de dashboards, filtros de ação, parâmetros e visualizações/cálculos complexos para criar painéis no Tableau Desenvolver, executar e padronizar quaisquer procedimentos que auxiliem na criação e manutenção de relatórios Experiência interagindo com clientes/usuários para verificar requisitos Somos a 17ª melhor empresa para trabalhar do Brasil e a 4ª melhor empresa para trabalhar no Rio Grande do Sul, segundo o GPTW 2023; Todos os profissionais que estão alocados em clientes e/ou projetos são acompanhados por Gestor da DBC e também por Líder de Smartsourcing; A DBC oferece incentivo a certificações a todos os colaboradores. Nosso time promove um ambiente seguro para todos os profissionais independente de sua etnia, crença religiosa, orientação sexual, identidade de gênero, deficiência, idade, etc.","Analítica de dados;Banco de dados;DBC;Dashboards;ETL (Extração, transformação e carregamento);Habilidades analíticas;PL/SQL;SQL;Tableau;Visualização de dados",3864447132,https://www.linkedin.com/jobs/view/3864447132,,
3,"Senior Angular Developer (AEM reskilling) , On-Site Campinas",CI&T,"Campinas, São Paulo, Brasil",há 4 semanas,https://www.linkedin.com/company/ciandt/life,Presencial,Pleno-sênior,"We partner with the world’s most valuable brands to build digital solutions that transform businesses. As a digital native, we bring a 29-year track record of accelerating business impact through complete and scalable digital solutions. With a global presence of 6,000+ professionals in strategy, research, data science, design, and engineering, we unlock top-line growth, improve customer experience, and drive operational efficiency. We are looking for an Angular Developer to join our team on an exciting website creation project. While the project will primarily involve working with AEM, proficiency in Angular is the essential requirement. Don't worry if you're not familiar with AEM - we will provide training! If you have prior experience in development and are open to learning new technologies, we have opportunities available for both mid-level developer transitioning to senior and senior professionals in the market. This role will require you to work onsite at our office in Campinas as part of a development squad, collaborating closely with a major american investment client. As part of this project, we will be developing websites for clients in the financial market, offering a range of information and features for purchasing mutual funds, ETFs, retirement plans, bonds, and other financial products. Responsibilities Understand client's business problems and pain points; Write high-quality software code; Conduct code reviews; Assist in solving business problems; Work with multidisciplinary teams following an agile delivery model; Guide and empower the team, fostering successors; Be able to communicate in English. Actively participate in meetings, review and write technical documents in English. Requirements For This Challenge Development using Angular or another frontend-focused language; Automated testing development and understanding of the Test Pyramid concept; GIT; Agile; Advanced English (daily contact with people outside of Brazil). Nice To Have Development using AEM (Adobe Experience Manager); Java; Containerization (Docker/Kubernetes). Important: Availability to work on-site daily at the Campinas base. #Midsenior CI&T is an equal-opportunity employer. We celebrate and appreciate the diversity of our CI&Ters’ identities and lived experiences. We are committed to building, promoting, and retaining a diverse, inclusive, and equitable company and culture focused on creating a better tomorrow. At CI&T, we recognize that innovation and transformation only happen in diverse, inclusive, and safe work environments. Our teams are most impactful when people from all backgrounds and experiences collaborate to share, create, and hear ideas. Before applying for our opportunities take a look at Conflict of Interest Policy on website. We strongly encourage candidates from diverse and underrepresented communities to apply for our vacancies.",Adobe Experience Manager (AEM);Angular (Framework);Automação de testes;Container Orchestration;Conteinerização;Criação de sites;Firebase;Java;Kubernetes;Revisão de código,3874261568,https://www.linkedin.com/jobs/view/3874261568,Seja uma das primeiras pessoas a se candidatar,
4,Cientista de Dados Sr.,Entelgy Brasil,Brasil,há 2 dias,https://www.linkedin.com/company/entelgy-brasil/life,Remoto,Pleno-sênior,"DEIXE-NOS DIZER O QUE NOS TORNA GENUÍNOS… Procuramos profissionais que queiram se reinventar a cada dia, que queiram enfrentar desafios em seu DNA e que sejam apaixonados por trabalhar com tecnologia/cibersegurança. Isso nos torna únicos e autênticos. O que buscamos? Procuramos um Cientista de Dados Sr. profissional para integrar um projeto. O que vai fazer? Coletar, limpar e preparar dados para análise. Desenvolver modelos preditivos e algoritmos de machine learning. Realizar análises estatísticas avançadas e interpretar resultados. Criar visualizações de dados claras e eficazes. Colaborar com as equipes de negócios para entender as necessidades e objetivos. Fornecer insights acionáveis e recomendações com base nas análises. Manter-se atualizado com as tendências e avanços na área de ciência de dados. Configurar e gerenciar instâncias em cloud (por exemplo, AWS, Azure, GCP) para treinamento de modelos. Aplicar técnicas de reconhecimento de padrões, incluindo, mas não se limitando à: redes neurais convolucionais (CNN), modelos de linguagem para processamento de linguagem natural (NLP) e árvores de decisão para classificação de dados. O que é necessário? Ampla experiência em ciência de dados. Proficiência em linguagens de programação, como Python e R. Experiência com Python e/ou R para construção de modelos. Experiência com bibliotecas de machine learning, como Scikit-Learn e Tensor Flow. Experiência com técnicas de modelagem descritiva e preditiva. Experiência na construção de ETL. Excelentes habilidades de comunicação e capacidade de explicar resultados complexos de forma clara. Atitude proativa e orientada para resultados. O que é desejável? Conhecimento sólido em SQL e bancos de dados relacionais. Habilidade em ferramentas de visualização de dados, como Tableau, Power BI ou matplotlib. Familiaridade com técnicas de processamento de linguagem natural (NLP) e visão computacional. Experiência na configuração e gerenciamento de instâncias em cloud para treinamento de modelos. 🗺 Modalidade: Remoto Modelo de contratação: CLT ou PJ 💰Pacote de Benefícios: É assim que colocamos todo nosso talento para você 🎓Entelgy College: Nossa Universidade ✅Self Service Digital: Escolha seu treinamento, com soluções vanguardistas a sua medida ✅Trilha de desenvolvimento com plano de Certificação: Certificado! ✅Idiomas: Vários idiomas a sua escolha em nossa plataforma digital. ✅Comunidade Entelgy 🧺️💲Benefício Flex 📜Incentivo educacional: certificação 💸Indicação futuro Entelgeer: Prêmio para as indicações 🥗🍴 Vale Refeição ou Alimentação SEM desconto 🚌 🚗🛵Vale transporte/combustível SEM desconto 🏥 Plano de saúde 🦷 Plano odontológico 👻 Seguro de vida 🏊🌞Convênio com SESC 👶🏻 Auxílio Creche 💻 🌐Auxílio Home Office E muito mais...venha descobrir! PORQUE NA ENTELGY TUDO COMEÇA COM VOCÊ! Cuidar de si em todos os aspectos é uma máxima na Entelgy, portanto, o equilíbrio entre vida pessoal e profissional é algo que valorizamos e facilitamos com nosso modelo de trabalho flexível, #Balance. Nossa cultura é vivida todos os dias, somos como uma grande família e formamos a Família Entelgy, onde você pode participar de atividades, eventos, concursos e muito mais. Dispomos também de um conjunto de iniciativas que visam incentivar uma vida saudável e equilibrada, como a nossa plataforma digital de Saúde e Bem-Estar MyWellness. É ASSIM QUE COLOCAMOS TODO O NOSSO POTENCIAL A FAVOR DO SEU TALENTO! Venha fazer parte da nossa equipe e descubra que não é só o que fazemos, mas como fazemos. Atreva-se a viver uma experiência Genuína! Para nos conhecer um pouco mais acesse nossos links: https://www.linkedin.com/company/entelgy-brasil https://www.entelgy.com.br/venha-ser-um-entelgeer https://youtu.be/fn9uWI4LtR4 https://youtu.be/AiytW5zfkcU https://youtu.be/3d7ZC0sY8uU",Análise de dados;Ciência de dados;Ferramentas ETL;Microsoft Azure Machine Learning;Python;Scikit-Learn;TensorFlow,3909666118,https://www.linkedin.com/jobs/view/3909666118,Mais de 100 candidaturas,https://www.linkedin.com/in/bruna-liz
5,QA de Produtos de dados/BI-Dataviz,DBC Company,"Ivoti, Rio Grande do Sul, Brasil",há 1 mês,https://www.linkedin.com/company/dbc-company/life,Híbrido,Pleno-sênior,"Profissional será responsável por criar e executar testes que servirão para analisar se um produto de dados ou dashboard está funcionando de acordo com as especificações. Além disso, pode desenvolver a automação de testes que ocorram com frequência para sua análise. Buscamos um perfil bastante detalhista e analítico, pois, em última análise, seu trabalho será parte integrante de nossos esforços para garantir a melhor experiência de uso do nosso aplicativo. Principais atividades e responsabilidades Desenvolver plano de testes para Dataviz ou produtos de dados, e executá-lo. Identificar erros (bugs) a partir das provas realizadas, reportá-los e fazer o acompanhamento dos mesmos Fazer o registro de todos os incidentes e não-conformidades encontrados nos testes funcionais e elaborar relatórios. Determinar cenários de testes e casos em que eles foram bem aplicados. Participar dos processos de melhoria contínua. Participar dos processos de automação dos testes. Fazer a manutenção de testes já automatizados. Ensino superior completo ou em conclusão. Conhecimentos básicos em HTML e bancos de dados SQL. Experiência comprovada na área de qualidade, precisa ter atuado em testes com produtos de dados e/ou em entregas de dashbord/dataviz. Experiência com ferramentas de realização de testes. Conhecimento de metodologias ágeis. Habilidades Boa capacidade investigativa. Visão analítica e criteriosa. Capacidade de observação dos detalhes. Somos a 17ª melhor empresa para trabalhar do Brasil e a 4ª melhor empresa para trabalhar no Rio Grande do Sul, segundo o GPTW 2023; Todos os profissionais que estão alocados em clientes e/ou projetos são acompanhados por Gestor da DBC e também por Líder de Smartsourcing; A DBC oferece incentivo a certificações a todos os colaboradores. Nosso time promove um ambiente seguro para todos os profissionais independente de sua etnia, crença religiosa, orientação sexual, identidade de gênero, deficiência, idade, etc.",Auditoria da qualidade;CAPA;Controle de qualidade;Dashboards;Garantia de qualidade;Gestão da qualidade;HTML;SQL;Sistema de qualidade;Testes manuais,3864442752,https://www.linkedin.com/jobs/view/3864442752,,
6,Data Engineer,Globant,São Paulo e Região,há 1 semana,https://www.linkedin.com/company/globant/life,Híbrido,Assistente,"We are a digitally native technology services company where innovation, design and engineering meet scale. We use some of the latest technologies in the digital and cognitive field to empower organizations in every aspect. Right now, we are looking for Data Engineer to join our team at Globant! You will get the chance to: Work with professionals who have created some of the most revolutionary solutions in their fields. Make an impact. Work in large-scale projects globally. Develop your career in our Studios. Each Studio represents deep pockets of expertise on the latest technologies and trends and delivers tailored solutions focused on specific challenges. Develop your career within an industry or multiple industries. Work in the city you want, and be nourished by cultural exchanges. Be empowered to choose your career path: we have more than 600 simultaneous projects, so you can choose where and how to work. Be part of an agile pod. Driven by a culture of self-regulated teamwork, each team -or POD- works directly with our customers with a full maturity path that evolves as they increase speed, quality and autonomy. What would help you succeed: Believe and love what you do. Enjoy solving problems. Have imagination and you love innovating. Being flexible & goal oriented. English communication skills is a must (B2 or upper). Experience with programming languages such as SQL, Python, Java, Scala, TypeScript. Experience with Data Manipulation using ETLs and ELTs, CI/CD, data curation. Experience with Database tools using SQL and NoSQL. Experience with cloud ecosystems (GCP, AWS, Azure). Great knowledge of Data Governance, Domain Driven Design and Architectural Components At Globant, we believe that an inclusive culture and a diverse environment makes us stronger. We are an equal opportunity employer (EOE M/F/D/V), always seeking to generate a place for inspiration and growth for everyone regardless of race, color, religion, national origin, sexual orientation, age, marital status, disability, gender identity, or veteran status. Are you ready? Job Segment: Database, Cloud, SQL, Java, Engineer, Technology, Engineering","Engenharia de dados;Banco de dados;Comunicação;Curadoria de dados;ETL (Extração, transformação e carregamento);Ferramentas de bancos de dados;Governança de dados;Manipulação de dados;Scala;TypeScript",3902473069,https://www.linkedin.com/jobs/view/3902473069,,
7,Engenheiro de Dados,GFT Technologies,"São Paulo, São Paulo, Brasil",há 2 semanas,https://www.linkedin.com/company/gft-technologies/life,Híbrido,Pleno-sênior,"Já conhece a GFT? Com mais de 35 anos de mercado e localizada em 16 países, a GFT emprega mais de 10.000 pessoas ao redor do mundo sendo 3.000 pessoas no Brasil. Aqui, a diversidade, a igualdade e a inclusão estão no centro e garantir um ambiente de trabalho seguro para todas as pessoas faz parte de quem somos. Promovemos uma cultura de desenvolvimento e crescimento pautadas no nosso pilar de Continuous Scaled Learning porque acreditamos o uso inteligente da tecnologia é a chave para o sucesso nesse mundo digital. O que buscamos: Profissional que atue com Engenharia de Dados no modelo híbrido. Requisitos e Qualificações: Experiencia em Cloud, preferencialmente Azure; Conhecimento em Databricks; Conhecimento de Python; Conhecimento em processos streaming, mensageria e arquitetura medalion; Conhecimentos com ingestão de dados, programação em geral Tecnologia; Desenvolvimento e manutenção dados, elaborar a estrutura de banco de dados e codificação de programas, seguindo as especificações, normas, padrões e prazos estabelecidos; Conhecimento em Banco de Dados, ferramentas de Carga e extração de dados; Descrição comportamental: Procuramos uma pessoa que: Goste de trabalhar em equipe e seja colaborativa em suas atribuições; Tenha coragem para se desafiar e ir além, abraçando novas oportunidades de crescimento; Transforme ideias em soluções criativas e busque qualidade em toda sua rotina; Tenha habilidades de resolução de problemas ; Possua habilidade e se sinta confortável para trabalhar de forma independente e gerenciar o próprio tempo ; Tenha interesse em lidar com situações adversas e inovadoras no âmbito tecnológico. O que oferecemos: Cartão multi-benefícios – você escolhe como e onde utilizar; Bolsas de Estudos para cursos de Graduação, Pós, MBA e Idiomas; Programas de incentivo à Certificações; Horário de trabalho flexível; Plano personalizado de carreira e possibilidade de carreira internacional; Salários competitivos; Avaliação de desempenho anual com possibilidade de bonificação; Gympass; Previdência Privada; Auxílio-Creche; Assistência Médica; Assistência Odontológica; Seguro de Vida. Big enough to deliver – small enough to care. #VempraGFT #VamosVoarJuntos #ProudToBeGFT",Azure Databricks;Python,3894289739,https://www.linkedin.com/jobs/view/3894289739,Mais de 100 candidaturas,
8,Data Scientist Responsible - Espanhol Avançado/ Fluente,SegurPro,"São Paulo, Brasil",há 6 dias,https://www.linkedin.com/company/segurpro/life,Híbrido,Pleno-sênior,"Faça parte do time de Heróis de Sangue Amarelo! Nosso propósito é Tornar o Mundo um Lugar Mais Seguro e não vamos parar até conseguir, pois somos incansáveis e pensamos positivamente. Nossa paixão? Cuidar de todos, sejam eles clientes, o planeta ou nossos colaboradores pois as pessoas são importantes para nós. Trabalhamos para que as pessoas vivam tranquilamente, tanto em seu ambiente físico quanto no digital, a fim de gerar um impacto positivo em sua vida pessoal e profissional. Com mais de 40 anos de história, presente em 26 países e com mais de 160.000 funcionários em todo o mundo. Somos uma das empresas líderes mundiais do setor de Segurança Privada, que oferece Soluções Integradas de Segurança, adaptadas às necessidades de nossos clientes. Toda nossa história não seria possível sem um time de heróis e por isso desenvolvemos diariamente programas específicos para atrair novos talentos e promovemos a carreira dos nossos profissionais com treinamentos contínuos e oportunidades internas de crescimento. Trabalhamos todos os dias para oferecer segurança inovadora com base nas soluções mais avançadas do mercado. No Brasil, o Grupo Prosegur conta com três linhas de negócio: Segurpro, Prosegur Cash e Cipher. Viva uma excelente experiência, participando de um processo seletivo 100% digital, pois temos equipes dedicadas para garantir a qualidade, segurança e humanização em todas as etapas! Diversidade & Inclusão na Prosegur Cada um de nós enxerga o mundo de formas diferentes. Mas uma coisa deve ser comum a todos: o respeito. Acreditamos que a diversidade de perspectivas e experiências garantem um ambiente diferenciado de trabalho! O Programa Somos Todos Heróis - Diversidade e Respeito vem para fortalecer e apoiar o nosso posicionamento a favor do Respeito e da Inclusão e para trazer conhecimento e conscientização a todos os nossos Heróis. Acreditamos que times diversos podem garantir resultados espetaculares além de impulsionar nossa cultura inovadora Conheça esta oportunidade de trabalho na Segurpro/Cash e se você possui os requisitos para a vaga, FAÇA JÁ A SUA INSCRIÇÃO. * Vaga aberta a pessoas com ou sem deficiência. Se você é PCD e possui os requisitos e interesse, junte-se à nossa equipe de Heróis de Sangue Amarelo e venha ser Protagonista de uma história de sucesso! Cientista de Dados - Governança e Análise de Dados Executa análise de dados para extrair conhecimento ou insights de dados estruturados ou não estruturados. Desenvolve algoritmos estatísticos avançados para análise de conjuntos de dados complexos e em grande escala, aplicando técnicas de ponta em ciência de dados. Com quem você trabalhará Você trabalhará com nossa equipe global de governança e análise de dados em Madrid e Buenos Aires, com foco em iniciativas de ciência de dados. REQUISITOS IMPRESCINDÍVEIS PARA INSCRIÇÃO: Mestrado em Matemática , Estatística, Física, Ciências da Computação , Engenharia ou outros (preferencialmente doutorado); Domínio do idioma espanhol (avançado/fluente) para reportar-se utilizando o idioma; Desejável domínio do idioma inglês (avançado/fluente); Capacidade de trabalhar com supervisão mínima e de forma eficaz com pessoas de todos os níveis da organização; Capacidade de comunicar/ demonstrar resultados complexos para públicos técnicos e não técnicos; Disposição e capacidade para aprender novas tecnologias no trabalho; +5 anos de experiência profissional em programação; experiência aplicada a problemas de negócios é uma diferencial ; Conhecimento de Python e conhecimento sobre soluções de Big Data; C onhecimento em Data Scientist frameworks baseada em cloud Azure ; Google Cloud, AWS, são valorizados; Experiência em tratamento de dados/ mineração de dados SQL, Spark, Neo4j (valorizado); Web Scraping também é valorizado; Aptidão para análise, conhecimento estatístico e de pesquisa operacional é uma vantagem; Conhecimento de estruturas de visualização valorizadas (Dashboard, relatórios visuais); Conhecimento / domínio em machine learning, conhecimento de BIAS / VARIANCE tradeoff, exploração e compreensão de vários modelos de familias, incluindo rede neural, árvores de decisão, modelos Bayesianos, aprendizado instance-based, associação e aprendizado, algoritmos graph e algoritmos de deep learning. ATIVIDADES A SEREM REALIZADAS: Desenvolver modelos de Advanced Analytics para otimizar problemas de negócios usando tecnologias de Data Science; Testar e “mexer” com tecnologia de Data Science para realizar Provas de Conceito (PoC) e Pilotos na área de Data Science em casos de uso de negócios; Liderar e coordenar projetos de Data Science transversais às BUs que poderão terminar como uma nova linha de negócio ou criação de novos produtos e serviços em BUs existentes; Determinar os requisitos que serão usados para treinar e desenvolver modelos e algoritmos de deep learning; Implementar novas ferramentas para tornar a análise de dados mais eficiente e experiência na implantação de soluções analíticas em produção; Como Cientista de Dados, você criará insights valiosos, estratégias de negócios transformadoras por meio da medição, manipulação, relatórios e disseminação do resultado da análise de um amplo conjunto de dados. Você aplicará e aconselhará sobre ferramentas analíticas e quantitativas avançadas de última geração e técnicas de modelagem para obter insights de negócios, resolver problemas de negócios complexos e aproveitar decisões baseadas em dados; Treinar e compartilhar conhecimento em Data Science dentro da Prosegur. LOCAL DE TRABALHO: LAPA/ SÃO PAULO.",Aprendizagem profunda;Ciência de dados;Estratégias de negociação de ativos no mercado financeiro;Limpeza de dados;Manipulação de dados;Mineração de dados;Pesquisa de operações;Processamento de linguagem natural (PLN);Soluções analíticas;Árvores de decisão,3904552666,https://www.linkedin.com/jobs/view/3904552666,28 candidaturas,https://www.linkedin.com/in/gabriela-caetano-48a40548
9,Data Engineer,Wiley,"Curitiba, Paraná, Brasil",Anunciada novamente há 2 semanas,https://www.linkedin.com/company/john-wiley-and-sons/life,Presencial,Pleno-sênior,"Location: Curitiba, Parana Company: Wiley (CLT Position) Our mission is to unlock human potential. We welcome you for who you are, and the background you bring, and we embrace individuals who get excited about learning. Bring your experiences, your perspectives, and your passion; it’s in our differences that we empower the way the world learns. About the Role: This position within the Wiley Data Analytics & Insights team, is responsible for functioning as the Data Engineer, to develop and maintain data pipelines from multiple data sources into our Data Lake environment. This individual will work very closely with the other development leads, data engineers, and data architects to build and maintain data pipelines going to different zones of the Snowflake Data Warehouse environment. Determine the optimal approach for extracting, transforming, and loading data into different zones of Data Lake (Raw/Native, Processed/Transformed, Enriched, Archive). This includes design and development to prepare data for movement storage & consumption Views, ELT Processes, Extracts & other processes that manipulate, aggregate, clean, or enrich the data. The individual should demonstrate a thorough understanding of business validations and data quality. They should apply these principles diligently within our processes, aligning with the specific use cases. This data lake would see regular addition of datasets from internal and external sources deemed important for Wiley’s data analytics and insights requirements. In some cases, this role may involve building repeatable data feeds to and from platforms such as, Salesforce, SAP, MDM, Eloqua, e-commerce websites, etc. The position requires development skills to enable the matching and linking of internal and external data sources (especially as it relates to Customer and products) using analytical techniques/tools. The role will have frequent interaction/collaboration with Solutions Architects, Data Architects, BI & Analytics Development, Data Engineering, Marketing, Sales, Application/Product teams and Enterprise Architects to support Wiley’s Data Analytics and Insights roadmap. How you will make an impact: Design and implement secure data pipelines into a Snowflake data warehouse from on-premise and cloud data sources Define best practices and standards for data pipelining and integration with Snowflake data lake and warehouses in collaboration with Data Architect and other Data leads Design and implement high-performing data pipelines feeding downstream systems Collaborate with onshore/ offshore data engineers, BA, and Scrum Masters who will be building or testing data applications in Snowflake environment. Design and implement high-performing BI dashboard integrations Cognos and QlikView working with reporting and data visualization developers Ensure enterprise security and access control policies are adhered to in the solution Creation of architecture and design artifacts and documents Conduct design and code reviews What we look for: B.S Computer Science or related degree 4+ years experience in data pipeline architecture and data modelling Demonstrably deep understanding of SQL and relational databases (Snowflake preferred) Experience with Snowflake SnowSQL and writing user-defined functions would be a plus Hands-on experience with Python, Scala, Java, SQL, and tools like NIFI, Attunity, Spark (Databricks/Qubole), etc. Hands-on experience with data pipeline tools within cloud-based environments (Argo, Airflow, Luigi, DBT) Hands-on experience with CI/CD tools and practices (CircleCI, Travis, Jenkins) Hands-on experience with AWS (SQS, S3, Kinesys, Firehose, MKS, Lambda) Experience with open-source data warehouse tools Constantly improve product quality, security, and performance Write good code, performant code (Python preferred) About Wiley: Wiley is a trusted leader in research and learning, our pioneering solutions and services are paving the way for knowledge seekers as they work to solve the world’s most important challenges. We are advocates of advancement, empowering knowledge-seekers to transform today’s biggest obstacles into tomorrow’s brightest opportunities. With over 200 years of experience in publishing, we continue to evolve knowledge seekers’ steps into strides, illuminating their path forward to personal, educational, and professional success at every stage. Around the globe, we break down barriers for innovators, empowering them to advance discoveries in their fields, adapt their workforces, and shape minds. When applying, please attach your resume/CV to be considered",Airflow;Analítica de dados;Ciência da computação;Ciência de dados;Data warehouse;Datasets;MKS;Modelagem de dados;Pipeline de dados;Snowflake,3888398632,https://www.linkedin.com/jobs/view/3888398632,,
